,vehicle_id,data_installment,listing_price,data_make,data_model,data_year,data_mileage,data_transmission,doors,seat_capacity,assembled,engine_cc,peak_power,peak_torque,engine_type,fuel_type
3199,11123211,3760,290000,35,89,2022,0,0,4.0,5.0,2,1496.0,287.0,450.0,0,1
3200,11117342,1400,108000,9,105,2022,0,0,4.0,5.0,1,1996.0,170.0,405.0,1,0
3201,11117319,1400,108000,9,105,2022,0,0,4.0,5.0,1,1996.0,170.0,405.0,1,0
3203,11108990,1400,108000,9,105,2022,0,0,4.0,5.0,1,1996.0,170.0,405.0,1,0
3204,10842964,1697,130888,30,1,2022,0,0,5.0,5.0,0,1199.0,132.0,230.0,1,3
3205,10842932,1554,119888,25,25,2022,0,0,4.0,5.0,1,1898.0,150.0,350.0,1,0
3206,10842991,2838,218888,20,36,2022,0,0,5.0,11.0,1,2151.0,201.0,440.0,1,0
3207,6641574,2383,183800,25,34,2022,0,0,5.0,7.0,0,2488.0,194.0,258.0,1,3
3208,6641348,1788,137900,25,33,2022,1,0,5.0,5.0,0,1998.0,165.0,213.0,1,3
3209,7329441,1724,133000,25,33,2022,0,0,5.0,5.0,0,1998.0,165.0,213.0,1,3
3212,11075704,1271,98000,18,96,2022,0,1,2.0,2.0,0,5200.0,150.0,145.0,1,0
3213,11075566,1919,148000,18,59,2022,0,1,2.0,2.0,0,5200.0,150.0,145.0,1,0
3214,11067632,2175,167800,2,22,2022,0,0,5.0,5.0,1,1496.0,204.0,310.0,0,1
3215,11067624,2175,167800,2,22,2022,0,0,5.0,5.0,1,1496.0,204.0,310.0,0,1
3216,11067620,2175,167800,2,22,2022,0,0,5.0,5.0,1,1496.0,204.0,310.0,0,1
3217,11067613,2175,167800,2,22,2022,0,0,5.0,5.0,1,1496.0,204.0,310.0,0,1
3218,11067610,2175,167800,2,22,2022,0,0,5.0,5.0,1,1496.0,204.0,310.0,0,1
3219,11067599,1942,149800,2,22,2022,0,0,5.0,5.0,1,1496.0,204.0,310.0,0,1
3220,11067592,1942,149800,2,22,2022,0,0,5.0,5.0,1,1496.0,204.0,310.0,0,1
3221,11067589,1942,149800,2,22,2022,0,0,5.0,5.0,1,1496.0,204.0,310.0,0,1
3222,11067583,1942,149800,2,22,2022,0,0,5.0,5.0,1,1496.0,204.0,310.0,0,1
3223,11067576,1942,149800,2,22,2022,0,0,5.0,5.0,1,1496.0,204.0,310.0,0,1
3224,11030707,714,55060,29,90,2022,0,0,5.0,5.0,0,1496.0,103.0,137.0,1,3
3225,10843130,1554,119888,25,25,2022,0,0,4.0,5.0,1,1898.0,150.0,350.0,1,0
3226,7292681,2073,159900,25,3,2022,1,0,5.0,5.0,1,1998.0,165.0,213.0,1,3
3227,10428302,1685,130000,30,1,2022,0,0,5.0,5.0,0,1199.0,132.0,230.0,1,3
3228,10428456,2982,230000,20,36,2022,0,0,5.0,11.0,1,2151.0,201.0,440.0,1,0
3229,6686082,2383,183800,25,34,2022,0,0,5.0,7.0,0,2488.0,194.0,258.0,1,3
3230,7309942,1880,145000,25,33,2022,0,0,5.0,5.0,0,1998.0,165.0,213.0,1,3
3231,7329463,2269,175000,25,34,2022,0,0,5.0,7.0,0,2488.0,194.0,258.0,1,3
3232,10428127,1685,130000,30,1,2022,0,0,5.0,5.0,0,1199.0,132.0,230.0,1,3
3234,9042655,1743,134429,36,41,2022,0,0,5.0,5.0,0,1798.0,140.0,172.0,1,3
3235,6686007,2013,155300,25,33,2022,1,0,5.0,5.0,0,1998.0,165.0,213.0,1,3
3236,11038130,1111,85723,25,0,2021,0,0,4.0,5.0,1,1496.0,116.0,148.0,1,3
3237,11030925,714,55060,29,90,2022,0,0,5.0,5.0,0,1496.0,103.0,137.0,1,3
3238,11030810,714,55060,29,90,2022,0,0,5.0,5.0,0,1496.0,103.0,137.0,1,3
3250,11014481,1724,133000,15,137,2022,0,1,2.0,2.0,0,4009.0,150.0,145.0,1,0
